d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:00:00.002758930,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,388804.77975893,4.777,388800.00275893,2021-02-04 12:00:00.002758930,1,0
2021-02-04 12:00:22.582926926,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,388827.573926926,4.991,388822.582926926,2021-02-04 12:00:22.582926926,2,22580
2021-02-04 12:00:27.815285021,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,388916.959285021,89.144,388827.81528502103,2021-02-04 12:00:27.815285021,3,5232
2021-02-04 12:02:38.524443069,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,388958.68344306893,0.159,388958.52444306895,2021-02-04 12:02:38.524443069,4,130709
2021-02-04 12:05:00.017149929,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389100.313149929,0.296,389100.017149929,2021-02-04 12:05:00.017149929,5,141493
2021-02-04 12:08:00.008203983,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389280.008203983,0.0,389280.008203983,2021-02-04 12:08:00.008203983,6,179991
2021-02-04 12:10:00.012556978,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389499.891556978,99.879,389400.012556978,2021-02-04 12:10:00.012556978,7,120004
2021-02-04 12:11:57.220749928,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389517.594749928,0.374,389517.220749928,2021-02-04 12:11:57.220749928,8,117208
2021-02-04 12:14:00.020298077,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389640.144298077,0.124,389640.02029807697,2021-02-04 12:14:00.020298077,9,122800
2021-02-04 12:15:00.036469009,7b2c43a2bc30f6bb438074df88b603d2cb982d3e7961de05270735055950a568,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389700.233469009,0.197,389700.036469009,2021-02-04 12:15:00.036469009,10,60016
2021-02-04 12:15:46.411575960,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389746.41257596,0.001,389746.41157596,2021-02-04 12:15:46.411575960,11,46375
2021-02-04 12:15:57.421041893,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389757.797041893,0.376,389757.421041893,2021-02-04 12:15:57.421041893,12,11009
2021-02-04 12:17:29.649162935,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389849.650162935,0.001,389849.64916293503,2021-02-04 12:17:29.649162935,13,92228
2021-02-04 12:17:35.543193983,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389855.544193983,0.001,389855.54319398303,2021-02-04 12:17:35.543193983,14,5894
2021-02-04 12:17:47.056454109,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389867.057454109,0.001,389867.056454109,2021-02-04 12:17:47.056454109,15,11513
2021-02-04 12:18:00.023742914,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389880.023742914,0.0,389880.023742914,2021-02-04 12:18:00.023742914,16,12967
2021-02-04 12:18:40.076907085,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389920.077907085,0.001,389920.076907085,2021-02-04 12:18:40.076907085,17,40053
2021-02-04 12:18:57.073259996,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389937.074259996,0.001,389937.073259996,2021-02-04 12:18:57.073259996,18,16996
2021-02-04 12:19:05.334706949,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389945.33570694894,0.001,389945.33470694895,2021-02-04 12:19:05.334706949,19,8261
2021-02-04 12:19:16.421249079,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389956.42224907904,0.001,389956.42124907905,2021-02-04 12:19:16.421249079,20,11087
2021-02-04 12:19:21.733574982,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389961.738574982,0.005,389961.733574982,2021-02-04 12:19:21.733574982,21,5312
2021-02-04 12:19:34.144313025,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,389974.145313025,0.001,389974.144313025,2021-02-04 12:19:34.144313025,22,12411
