,wait_delay
0,8772
30,10915
60,8410
90,9741
120,9449
150,10006
180,10106
210,10157
240,8168
270,9425
300,10445
330,9544
360,10767
390,10394
420,10856
450,11306
480,9699
510,9805
540,10869
570,9753
600,9905
630,9553
660,10902
690,9072
720,9424
750,8459
780,8836
810,8981
840,10358
870,10547
900,10196
930,9554
960,2335
990,9830
1020,9701
1050,9281
1080,10743
1110,10008
1140,9529
1170,10964
1200,9433
1230,10475
1260,8740
1290,9902
1320,10392
1350,9205
1380,9988
1410,10247
1440,10805
1470,9094
1500,9627
1530,10750
1560,9532
1590,9804
1620,10644
1650,10018
1680,10301
1710,9536
1740,10396
1770,8653
1800,9338
1830,10987
1860,9070
1890,10089
1920,10367
1950,9032
1980,10126
2010,10200
2040,4188
2070,9464
2100,10132
2130,10934
2160,9722
2190,10866
2220,9297
2250,9466
2280,5817
2310,9990
2340,11069
2370,9675
2400,9733
2430,828
2460,11031
2490,10456
2520,908
2550,7528
2580,10971
2610,9217
2640,2205
2670,737
2700,442
2730,442
2760,718
2790,439
2820,454
2850,109
2880,418
2910,100
2940,212
2970,502
3000,473
3030,307
3060,304
3090,108
3120,109
3150,107
3180,2988
3210,447
3240,451
3270,2917
3300,5816
3330,453
3360,450
3390,419
3420,404
3450,682
3480,168
3510,10158
3540,8104
3570,9703
3600,4283
3630,10759
3660,732
3690,9342
3720,8490
3750,8618
3780,9037
3810,1163
3840,9979
3870,727
3900,10356
3930,829
3960,517
3990,562
4020,5803
4050,303
4080,1811
4110,543
4140,480
4170,2054
4200,723
4230,7418
4260,8635
4290,3245
4320,521
4350,4313
4380,1818
4410,595
4440,3005
4470,327
4500,6327
4530,7590
4560,11547
4590,10219
4620,9873
4650,9583
4680,10475
4710,10144
4740,7539
4770,9656
4800,10329
4830,10216
4860,8755
4890,9795
4920,9607
4950,9937
4980,10442
5010,9675
5040,10299
5070,947
5100,9687
5130,10282
5160,10497
5190,9705
5220,9109
5250,10395
5280,9301
5310,9530
5340,10442
5370,9866
5400,10775
5430,3630
5460,3486
5490,3463
5520,6389
5550,4566
5580,6827
5610,3524
5640,4015
5670,6374
5700,3373
5730,4588
5760,5197
5790,6381
5820,5679
5850,873
5880,7108
5910,11283
5940,11419
5970,10602
6000,10409
6030,10561
6060,10690
6090,10306
6120,10412
6150,10285
6180,8581
6210,482
6240,10225
6270,10523
6300,9687
6330,11025
6360,11136
6390,9943
6420,9438
6450,695
6480,7948
6510,4237
6540,10385
6570,9914
6600,6422
6630,7171
6660,7482
6690,3289
6720,1934
6750,281
6780,310
6810,269
6840,381
6870,119
6900,797
6930,5250
6960,571
6990,518
7020,250
7050,293
7080,252
7110,106
7140,96
7170,265
7200,1886
7230,293
7260,293
7290,157
7320,6665
7350,108
7380,392
7410,4209
7440,4798
7470,2901
7500,176
7530,283
7560,3352
7590,5654
7620,4343
7650,3177
7680,4561
7710,7460
7740,6769
7770,3504
7800,5763
7830,637
7860,9137
7890,7232
7920,9737
7950,2055
7980,6477
8010,3983
8040,7262
8070,9019
8100,8437
8130,10553
8160,7150
8190,7714
8220,8046
8250,7681
8280,8652
8310,3624
8340,8894
8370,9072
8400,6882
8430,7920
8460,9535
8490,9490
8520,9908
8550,10749
8580,9671
8610,10178
8640,647
8670,10248
8700,10021
8730,10337
8760,10522
8790,1353
8820,460
8850,10950
8880,11482
8910,1005
8940,7558
8970,10068
9000,9409
9030,11211
9060,11076
9090,10537
9120,11808
9150,8894
9180,10956
9210,761
9240,10315
9270,790
9300,1322
9330,8482
9360,10492
9390,10216
9420,10090
9450,9388
9480,6132
9510,8088
9540,1512
9570,388
9600,382
9630,379
9660,514
9690,389
9720,421
9750,424
9780,648
9810,252
9840,572
9870,7415
9900,1122
9930,8326
9960,1469
9990,394
10020,214
10050,4851
10080,1636
10110,8488
10140,2023
10170,11517
10200,10692
10230,9713
10260,9974
10290,1684
10320,9418
10350,10435
10380,10567
10410,1481
10440,2842
10470,7587
10500,9783
10530,9359
10560,10125
10590,11376
10620,9060
10650,10759
10680,10205
10710,1518
10740,5109
10770,8841
10800,10344
10830,9710
10860,11151
10890,11402
10920,326
10950,9361
10980,724
11010,682
11040,7221
11070,464
11100,350
11130,256
11160,256
11190,10635
11220,992
11250,323
11280,692
11310,415
11340,306
11370,426
11400,4940
11430,3895
11460,2954
11490,4134
11520,434
11550,426
11580,416
11610,363
11640,421
11670,442
11700,414
11730,473
11760,613
11790,442
11820,261
11850,214
11880,1227
11910,10524
11940,11199
11970,8981
12000,11037
12030,10261
12060,9583
12090,10971
12120,9196
12150,9315
12180,982
12210,662
12240,11291
12270,10637
12300,9861
12330,9530
12360,7158
12390,11248
12420,9682
12450,2641
12480,10129
12510,11214
12540,11078
12570,10781
12600,11041
12630,9131
12660,9686
12690,10878
12720,1074
12750,10997
12780,9495
12810,10974
12840,10930
12870,9298
12900,11383
12930,11497
12960,8933
12990,10703
13020,10964
13050,6141
13080,10624
13110,11389
13140,10747
13170,10619
13200,7830
13230,10534
13260,7980
13290,8306
13320,8874
13350,10874
13380,10515
13410,10480
13440,10421
13470,9626
13500,9440
13530,10827
13560,6884
13590,10406
13620,6420
13650,10147
13680,10321
13710,10526
13740,9758
13770,631
13800,5261
13830,10335
13860,11198
13890,11115
13920,10582
13950,336
13980,321
14010,308
14040,274
14070,333
14100,457
14130,398
14160,211
14190,101
14220,168
14250,339
14280,348
14310,663
14340,220
14370,109
14400,1692
14430,4247
14460,470
14490,812
14520,568
14550,357
14580,358
14610,367
14640,396
14670,372
14700,5619
14730,2047
14760,2423
14790,173
14820,11024
14850,1470
14880,10792
14910,9833
14940,10666
14970,10185
15000,8695
15030,876
15060,10113
15090,10293
15120,10762
15150,9748
15180,9048
15210,9360
15240,10997
15270,10815
15300,10465
15330,10991
15360,9628
15390,10710
15420,10513
15450,9636
15480,9096
15510,10935
15540,10270
15570,10788
15600,1008
15630,10202
15660,10225
15690,10839
15720,10769
15750,11430
15780,5315
15810,11865
15840,11161
15870,9240
15900,10880
15930,12460
15960,11079
15990,11175
16020,10430
16050,813
16080,9491
16110,10369
16140,10608
16170,11042
16200,11102
16230,10933
16260,11323
16290,11499
16320,962
16350,6175
16380,11696
16410,11531
16440,11841
16470,10020
16500,11605
16530,12122
16560,10933
16590,9151
16620,11184
16650,10695
16680,11295
16710,9083
16740,10660
16770,9532
16800,10491
16830,10773
16860,9875
16890,10962
16920,10429
16950,11501
16980,11244
17010,10861
17040,10944
17070,9975
17100,10876
17130,11830
17160,8650
17190,718
17220,2392
17250,104
17280,642
17310,6936
17340,935
17370,9910
17400,9979
17430,10991
17460,10679
17490,10943
17520,10626
17550,6667
17580,10938
17610,10160
17640,10927
17670,11052
17700,9807
17730,10758
17760,10381
17790,11272
17820,2670
17850,10829
17880,9482
17910,11028
17940,10814
17970,10275
18000,11054
18030,1903
18060,11047
18090,9188
18120,11182
18150,10633
18180,11275
18210,11508
18240,9686
18270,10555
18300,10573
18330,11496
18360,7998
18390,11698
18420,11900
18450,10486
18480,11107
18510,11697
18540,5021
18570,11379
18600,10428
18630,10440
18660,10702
18690,9309
18720,9724
18750,10629
18780,10165
18810,10780
18840,10444
18870,9739
18900,10664
18930,10902
18960,10160
18990,4944
19020,2210
19050,8844
19080,10242
19110,10477
19140,10635
19170,10851
19200,10583
19230,10316
19260,9550
19290,9416
19320,11520
19350,10202
19380,10669
19410,10696
19440,8649
19470,10167
19500,11450
19530,825
19560,10696
19590,10961
19620,10391
19650,11086
19680,11317
19710,10741
19740,10024
19770,11147
19800,10915
19830,9984
19860,9417
19890,10808
19920,876
19950,10938
19980,10421
20010,10983
20040,10965
20070,1139
20100,9262
20130,10932
20160,11570
20190,11255
20220,9444
20250,11175
20280,10428
20310,10675
20340,11641
20370,8125
20400,10469
20430,10853
20460,10655
20490,11418
20520,11759
20550,6647
20580,10372
20610,10481
20640,10901
20670,10986
20700,9913
20730,10082
20760,11623
20790,10775
20820,10600
20850,747
20880,11438
20910,11403
20940,10169
20970,10385
21000,9789
21030,11152
21060,11291
21090,10020
21120,9390
21150,10338
21180,102
21210,205
21240,7183
21270,10218
21300,9594
21330,9686
21360,6928
21390,10408
21420,10401
21450,1324
21480,2361
21510,10725
21540,10164
21570,10431
21600,11339
21630,7136
21660,10751
21690,7508
21720,10558
21750,11218
21780,10241
21810,9689
21840,10812
21870,9337
21900,10382
21930,11765
21960,11069
21990,1448
22020,10704
22050,10480
22080,10898
22110,9536
22140,9527
22170,10406
22200,1075
22230,10054
22260,591
22290,153
22320,1415
22350,1395
22380,4726
22410,1847
22440,1017
22470,538
22500,8854
22530,959
22560,5896
22590,1069
22620,949
22650,9379
22680,111
22710,8944
22740,7726
22770,6049
22800,3275
22830,10804
22860,9503
22890,10016
22920,9773
22950,10162
22980,1841
23010,752
23040,10302
23070,10509
23100,10607
23130,10303
23160,10795
23190,11064
23220,2656
23250,11445
23280,10305
23310,10605
23340,8934
23370,10352
23400,8947
23430,10760
23460,10136
23490,8861
23520,6705
23550,11342
23580,8958
23610,10257
23640,11395
23670,10873
23700,10514
23730,1348
23760,9936
23790,10183
23820,10516
23850,10527
23880,9415
23910,618
23940,8322
23970,7892
24000,8994
24030,2632
24060,6461
24090,406
24120,360
24150,302
24180,145
24210,208
24240,201
24270,375
24300,650
24330,590
24360,107
24390,158
24420,209
24450,2292
24480,4956
24510,405
24540,452
24570,247
24600,302
24630,147
24660,187
24690,108
24720,475
24750,641
24780,165
24810,418
24840,508
24870,647
24900,194
24930,108
24960,5384
24990,8053
25020,8897
25050,9600
25080,9280
25110,7823
25140,10055
25170,10358
25200,11376
25230,11156
25260,10879
25290,10267
25320,1506
25350,11630
25380,10862
25410,5792
25440,10747
25470,11433
25500,9576
25530,8857
25560,7019
25590,8336
25620,5447
25650,2741
25680,1316
25710,9702
25740,10284
25770,1191
25800,691
25830,366
25860,435
25890,450
25920,221
25950,407
25980,666
26010,191
26040,353
26070,467
26100,1563
26130,4462
26160,266
26190,513
26220,219
26250,173
26280,167
26310,107
26340,524
26370,327
26400,3670
26430,150
26460,288
26490,1416
26520,249
26550,218
26580,2890
26610,1202
26640,143
26670,438
26700,189
26730,6236
26760,8513
26790,9706
26820,10012
26850,11210
26880,8583
26910,9678
26940,10378
26970,10374
27000,8562
27030,10066
27060,9872
27090,10678
27120,9785
27150,10331
27180,11099
27210,9960
27240,10087
27270,10618
27300,10103
27330,10348
27360,11259
27390,11533
27420,10366
27450,10527
27480,10113
27510,8583
27540,10294
27570,9297
27600,9926
27630,9452
27660,8765
27690,9785
27720,11583
27750,10390
27780,6078
27810,10715
27840,10931
27870,12569
27900,8447
27930,11347
27960,9693
27990,10177
28020,11384
28050,11848
28080,11168
28110,9907
28140,9263
28170,11052
28200,9797
28230,10417
28260,10907
28290,10240
28320,10565
28350,11310
28380,10305
28410,10394
28440,11257
28470,9978
28500,9828
28530,9417
28560,764
28590,10132
28620,11941
28650,9369
28680,10381
28710,10943
28740,9658
28770,10081
28800,10180
28830,10588
28860,10705
28890,11428
28920,10245
28950,1752
28980,9410
29010,10577
29040,10025
29070,10182
29100,9061
29130,8740
29160,9047
29190,9373
29220,9697
29250,8336
29280,10444
29310,10112
29340,9695
29370,9648
29400,9215
29430,11351
29460,9207
29490,9804
29520,9361
29550,10099
29580,9051
29610,10212
29640,9257
29670,9539
29700,545
29730,9179
29760,785
29790,360
29820,9044
29850,549
29880,171
29910,478
29940,703
29970,3694
30000,504
30030,6252
30060,543
30090,1107
30120,124
30150,107
30180,118
30210,4643
30240,369
30270,113
30300,6810
30330,294
30360,162
30390,189
30420,395
30450,5980
30480,574
30510,184
30540,1625
30570,301
30600,3102
30630,5802
30660,111
30690,1899
30720,1616
30750,7661
30780,8246
30810,9024
30840,9694
30870,10513
30900,9900
30930,10053
30960,8878
30990,11441
31020,11367
31050,9528
31080,9375
31110,9676
31140,9712
31170,8485
31200,9229
31230,10020
31260,9710
31290,9223
31320,8751
31350,687
31380,727
31410,8415
31440,9781
31470,9683
31500,10300
31530,10315
31560,11070
31590,9674
31620,9741
31650,9178
31680,10192
31710,10128
31740,10073
31770,11047
31800,9488
31830,11335
31860,9944
31890,9745
31920,10920
31950,10145
31980,10442
32010,10214
32040,11376
32070,10040
32100,1292
32130,9602
32160,10431
32190,10573
32220,10148
32250,10611
32280,9877
32310,11454
32340,7190
32370,10697
32400,12460
32430,10215
32460,11982
32490,10381
32520,8330
32550,10843
32580,11294
32610,8219
32640,7671
32670,9842
32700,11528
32730,9717
32760,8455
32790,7903
32820,9459
32850,12008
32880,10644
32910,10506
32940,8111
32970,10439
33000,10218
33030,9911
33060,10632
33090,8779
33120,10740
33150,10603
33180,11065
33210,11696
33240,9836
33270,10513
33300,10053
33330,10607
33360,9088
33390,10300
33420,8341
33450,8599
33480,9735
33510,8007
33540,7902
33570,8633
33600,9435
33630,9011
33660,8685
33690,7079
33720,8223
33750,9410
33780,743
33810,9444
33840,11024
33870,11295
33900,9104
33930,4878
33960,4078
33990,3664
34020,6862
34050,574
34080,2149
34110,5144
34140,8619
34170,10301
34200,9864
34230,8598
34260,11039
34290,8531
34320,8714
34350,10620
34380,8657
34410,10596
34440,10365
34470,11427
34500,6796
34530,9965
34560,11325
34590,11274
34620,9763
34650,10212
34680,11117
34710,8593
34740,10947
34770,11103
34800,10360
34830,10209
34860,10508
34890,10218
34920,10048
34950,11280
34980,8001
35010,10447
35040,9718
35070,11393
35100,10713
35130,9509
35160,10764
35190,11120
35220,10991
35250,2231
35280,10577
35310,9857
35340,5138
35370,9079
35400,11335
35430,9134
35460,11276
35490,9822
35520,9704
35550,9679
35580,10347
35610,9646
35640,10006
35670,9037
35700,9397
35730,9976
35760,8328
35790,186
35820,8670
35850,9215
35880,10440
35910,9939
35940,8870
35970,9424
36000,7783
36030,10660
36060,8351
36090,9557
36120,9227
36150,7753
36180,9081
36210,9032
36240,8741
36270,8998
36300,8855
36330,8929
36360,9709
36390,10491
36420,10159
36450,10264
36480,9152
36510,9529
36540,10745
36570,6697
36600,7632
36630,9762
36660,7302
36690,8000
36720,10777
36750,10258
36780,9876
36810,9481
36840,10058
36870,10123
36900,8904
36930,10124
36960,847
36990,6981
37020,9232
37050,265
37080,2592
37110,5440
37140,656
37170,3780
37200,4109
37230,5182
37260,1698
37290,7954
37320,8244
37350,9144
37380,660
37410,9820
37440,9468
37470,9325
37500,8811
37530,9660
37560,9621
37590,796
37620,4137
37650,214
37680,704
37710,6177
37740,971
37770,545
37800,2707
37830,643
37860,564
37890,420
37920,621
37950,511
37980,2363
38010,458
38040,205
38070,901
38100,184
38130,462
38160,649
38190,530
38220,535
38250,470
38280,572
38310,538
38340,486
38370,531
38400,115
38430,491
38460,2571
38490,110
38520,10244
38550,865
38580,6320
38610,2979
38640,1285
38670,7514
38700,10624
38730,3637
38760,7939
38790,499
38820,645
38850,8815
38880,482
38910,10477
38940,9716
38970,10779
39000,5262
39030,10621
39060,10450
39090,929
39120,7320
39150,10664
39180,9689
39210,511
39240,391
39270,7258
39300,114
39330,669
39360,457
39390,127
39420,612
39450,266
39480,480
39510,550
39540,408
39570,117
39600,559
39630,553
39660,266
39690,122
39720,124
39750,122
39780,1460
39810,2673
39840,534
39870,569
39900,535
39930,557
39960,519
39990,595
