,wait_delay
0,7100
20,7100
40,7100
60,7100
80,7100
100,7100
120,7100
140,7100
160,7100
180,7100
200,7100
220,7100
240,7100
260,7100
280,7100
300,7100
320,7100
340,7100
360,7100
380,7100
400,7100
420,7100
440,7100
460,7100
480,7100
500,7100
520,7100
540,7100
560,7100
580,7100
600,7100
620,7100
640,7100
660,7100
680,7100
700,7100
720,7100
740,7100
760,7100
780,7100
800,7100
820,7100
840,7100
860,7100
880,7100
900,7100
920,7100
940,7100
960,7100
980,7100
1000,7100
1020,7100
1040,7100
1060,7100
1080,7100
1100,7100
1120,7100
1140,7100
1160,7100
1180,7100
1200,7100
1220,7100
1240,7100
1260,7100
1280,7100
1300,7100
1320,7100
1340,7100
1360,7100
1380,7100
1400,7100
1420,7100
1440,7100
1460,7100
1480,7100
1500,7100
1520,7100
1540,7100
1560,7100
1580,7100
1600,7100
1620,7100
1640,7100
1660,7100
1680,7100
1700,7100
1720,7100
1740,7100
1760,7100
1780,7100
1800,7100
1820,7100
1840,7100
1860,7100
1880,7100
1900,7100
1920,7100
1940,7100
1960,7100
1980,7100
2000,7100
2020,7100
2040,7100
2060,7100
2080,7100
2100,7100
2120,7100
2140,7100
2160,7100
2180,7100
2200,7100
2220,7100
2240,7100
2260,7100
2280,7100
2300,7100
2320,7100
2340,7100
2360,7100
2380,7100
2400,7100
2420,7100
2440,7100
2460,7100
2480,7100
2500,7100
2520,7100
2540,7100
2560,7100
2580,7100
2600,7100
2620,7100
2640,7100
2660,7100
2680,7100
2700,7100
2720,7100
2740,7100
2760,7100
2780,7100
2800,7100
2820,7100
2840,7100
2860,7100
2880,7100
2900,7100
2920,7100
2940,7100
2960,7100
2980,7100
3000,7100
3020,7100
3040,7100
3060,7100
3080,7100
3100,7100
3120,7100
3140,7100
3160,7100
3180,7100
3200,7100
3220,7100
3240,7100
3260,7100
3280,7100
3300,7100
3320,7100
3340,7100
3360,7100
3380,7100
3400,7100
3420,7100
3440,7100
3460,7100
3480,7100
3500,7100
3520,7100
3540,7100
3560,7100
3580,7100
3600,7100
3620,7100
3640,7100
3660,7100
3680,7100
3700,7100
3720,7100
3740,7100
3760,7100
3780,7100
3800,7100
3820,7100
3840,7100
3860,7100
3880,7100
3900,7100
3920,7100
3940,7100
3960,7100
3980,7100
4000,7100
4020,7100
4040,7100
4060,7100
4080,7100
4100,7100
4120,7100
4140,7100
4160,7100
4180,7100
4200,7100
4220,7100
4240,7100
4260,7100
4280,7100
4300,7100
4320,7100
4340,7100
4360,7100
4380,7100
4400,7100
4420,7100
4440,7100
4460,7100
4480,7100
4500,7100
4520,7100
4540,7100
4560,7100
4580,7100
4600,7100
4620,7100
4640,7100
4660,7100
4680,7100
4700,7100
4720,7100
4740,7100
4760,7100
4780,7100
4800,7100
4820,7100
4840,7100
4860,7100
4880,7100
4900,7100
4920,7100
4940,7100
4960,7100
4980,7100
5000,7100
5020,7100
5040,7100
5060,7100
5080,7100
5100,7100
5120,7100
5140,7100
5160,7100
5180,7100
5200,7100
5220,7100
5240,7100
5260,7100
5280,7100
5300,7100
5320,7100
5340,7100
5360,7100
5380,7100
